PNO,EQUIPMENT_ID,LOT_NO,WAFER_ID,TIMESTAMP,EXPOSURE_DOSE,FOCUS_POSITION,STAGE_TEMP,BAROMETRIC_PRESSURE,HUMIDITY,ALIGNMENT_ERROR_X,ALIGNMENT_ERROR_Y,LENS_ABERRATION,ILLUMINATION_UNIFORMITY,RETICLE_TEMP
TS00000023,PHOTO_001,LOT250001A,W001,2024.1.1 0:16,32.76326039,-13.47030946,23.11872677,1012.652906,47.29252834,1.678596386,1.892014549,2.549950382,99.00478562,23.03906905
TS00000024,PHOTO_001,LOT250001A,W001,2024.1.1 0:17,31.9274805,-10.94216847,23.11558094,1017.217179,47.67874117,1.65532016,1.86964607,2.555636826,98.94485057,23.03795172
TS00000025,PHOTO_001,LOT250001A,W001,2024.1.1 0:18,32.03291338,-15.23166353,23.11781919,1014.900306,47.57574166,1.758792756,1.850863876,2.449481425,98.83841819,23.0362284
TS00000026,PHOTO_001,LOT250001A,W001,2024.1.1 0:18,32.04436904,-12.70410151,23.12094384,1016.281758,47.29476441,1.762550916,1.796276704,2.499560524,98.93845387,23.03529014
TS00000027,PHOTO_001,LOT250001A,W001,2024.1.1 0:19,31.2889361,-11.47771992,23.12503989,1013.21292,46.31949889,1.859039688,1.766069427,2.490757696,98.82711707,23.03467974
TS00000028,PHOTO_001,LOT250001A,W001,2024.1.1 0:20,31.65289943,-10.68814342,23.12199804,1016.739236,48.4533816,1.932647368,1.72182597,2.520922736,98.74489431,23.03353533
TS00000029,PHOTO_001,LOT250001A,W001,2024.1.1 0:21,31.02349542,-11.69176102,23.12312021,1014.551248,46.12240477,1.954312961,1.707726706,2.507876943,98.79610456,23.03182717
TS00000030,PHOTO_001,LOT250001A,W001,2024.1.1 0:21,30.91981515,-10.41764188,23.12784127,1011.865669,47.50672423,2.02189793,1.674893182,2.62637221,98.72330752,23.03061858
TS00000031,PHOTO_001,LOT250001A,W001,2024.1.1 0:22,30.58374685,-13.73249103,23.12763385,1013.283893,47.16088332,2.013913128,1.72538135,2.602889947,98.56591051,23.0295231
TS00000032,PHOTO_001,LOT250001A,W001,2024.1.1 0:23,31.37181706,-10.51806922,23.13185839,1012.463941,46.15506755,2.021537416,1.651448748,2.591564842,98.5827886,23.02878762
TS00000033,PHOTO_001,LOT250001A,W001,2024.1.1 0:24,30.45357462,-8.392685948,23.13543779,1014.034495,46.73507354,2.107285837,1.743815695,2.727161113,98.57662148,23.02732512
TS00000034,PHOTO_001,LOT250001A,W001,2024.1.1 0:24,29.88825978,-10.11146955,23.1342927,1009.611302,46.70536163,2.151728326,1.690587091,2.668877223,98.40772705,23.02579876
TS00000035,PHOTO_001,LOT250001A,W001,2024.1.1 0:25,30.51936386,-8.148167911,23.13477701,1012.237669,47.47200548,2.067753062,1.78617312,2.851335073,98.47285824,23.02354835
TS00000036,PHOTO_001,LOT250001A,W001,2024.1.1 0:26,29.60954951,-7.208370905,23.13923933,1013.051362,46.19004745,2.12198278,1.77725344,2.895044474,98.42968174,23.02256211
TS00000037,PHOTO_001,LOT250001A,W001,2024.1.1 0:27,30.11897094,-8.086772818,23.14220779,1011.900063,46.38385948,2.064194706,1.786708364,2.975798107,98.31648046,23.02117782
TS00000038,PHOTO_001,LOT250001A,W001,2024.1.1 0:27,29.22007849,-7.071284771,23.13838552,1014.942257,45.05629549,1.991083227,1.881181809,2.960692422,98.34416328,23.02056664
TS00000039,PHOTO_001,LOT250001A,W001,2024.1.1 0:28,29.47267212,-8.590929299,23.14461811,1013.270959,47.40995189,1.957282038,1.935157928,3.006589561,98.28748355,23.0182868
TS00000040,PHOTO_001,LOT250001A,W001,2024.1.1 0:29,30.11416999,-7.346851898,23.14572269,1011.082403,45.63256703,1.944999645,1.939927301,3.097891745,98.18591459,23.01756362
TS00000041,PHOTO_001,LOT250001A,W001,2024.1.1 0:30,30.3932736,-6.084675746,23.14701382,1011.412826,46.37171702,1.88057123,2.021618316,3.150286658,98.2520854,23.0151655
TS00000042,PHOTO_001,LOT250001A,W001,2024.1.1 0:30,30.25889321,-6.801475537,23.14846633,1011.385644,46.01080889,1.798212581,1.978377805,3.180252832,98.21123676,23.01370411
TS00000043,PHOTO_001,LOT250001A,W001,2024.1.1 0:31,30.26508484,-8.026627355,23.15126234,1011.436051,45.90470677,1.730341666,2.05308721,3.240232232,98.12102883,23.01267522
TS00000044,PHOTO_001,LOT250001A,W001,2024.1.1 0:32,30.33853204,-6.990655821,23.14687949,1005.651477,46.33747577,1.699991454,2.174969418,3.300393353,98.09499343,23.01169124
TS00000045,PHOTO_001,LOT250001A,W001,2024.1.1 0:33,30.03949699,-6.501034331,23.14844787,1009.256659,46.73900658,1.678080483,2.169625497,3.305984129,98.11414923,23.00926318
TS00000046,PHOTO_001,LOT250001A,W001,2024.1.1 0:33,30.53649181,-10.95359157,23.14793596,1006.101782,45.76893019,1.623472402,2.156265635,3.438406662,98.04446358,23.00654034
TS00000047,PHOTO_001,LOT250001A,W001,2024.1.1 0:34,30.85223714,-6.498033146,23.14921542,1012.819038,45.89042658,1.566272273,2.221739113,3.435538483,97.93856635,23.00548457
TS00000048,PHOTO_001,LOT250001A,W001,2024.1.1 0:35,31.68659979,-9.142410609,23.15262194,1009.290198,45.57209755,1.552758238,2.239599943,3.449469319,98.04419999,23.0048544
TS00000049,PHOTO_001,LOT250001A,W001,2024.1.1 0:36,31.64006754,-8.434714117,23.14711264,1008.786942,45.86118532,1.552267856,2.280338103,3.428773873,97.96819341,23.00240213
TS00000050,PHOTO_001,LOT250001A,W001,2024.1.1 0:36,31.04411747,-7.734826219,23.14822856,1011.349682,44.84783121,1.51713762,2.285183973,3.438038702,97.98272686,23.00113776
TS00000051,PHOTO_001,LOT250001A,W001,2024.1.1 0:37,32.12963359,-12.05751055,23.15275436,1010.010727,45.64523433,1.49636074,2.305367952,3.596795703,98.07289353,23.00000617
TS00000052,PHOTO_001,LOT250001A,W001,2024.1.1 0:38,32.09663355,-11.5334649,23.15199073,1005.990774,45.54071888,1.533155985,2.294222521,3.464694478,97.99552009,22.99720478
TS00000053,PHOTO_001,LOT250001A,W001,2024.1.1 0:39,32.22661097,-11.35987403,23.14907641,1008.50312,45.39885574,1.492271545,2.326109133,3.514818,98.00894312,22.99667061
TS00000054,PHOTO_001,LOT250001A,W001,2024.1.1 0:39,32.98091962,-12.53760178,23.151265,1007.7214,44.22914865,1.539954036,2.280038415,3.473019966,98.04533652,22.99471218
TS00000055,PHOTO_001,LOT250001A,W001,2024.1.1 0:40,33.37590716,-9.160950893,23.1498939,1004.088138,44.40161765,1.575276774,2.256435247,3.299393917,98.06037845,22.99298375
TS00000056,PHOTO_001,LOT250001A,W001,2024.1.1 0:41,33.54808255,-13.40647848,23.15176938,1006.625427,44.5256462,1.586555827,2.247086748,3.494131038,98.00853685,22.99177718
TS00000057,PHOTO_001,LOT250001A,W001,2024.1.1 0:42,33.0334072,-13.26037115,23.14837774,1007.805658,43.44124567,1.659669988,2.164672513,3.398688513,98.07482111,22.99009633
TS00000058,PHOTO_001,LOT250001A,W001,2024.1.1 0:42,33.41734154,-12.36643603,23.14964294,1007.902484,45.10539354,1.663144243,2.098340827,3.280328487,98.10673012,22.98932758
TS00000059,PHOTO_001,LOT250001A,W001,2024.1.1 0:43,33.82116122,-14.65639384,23.15214234,1004.421787,44.02912673,1.838528186,2.128914208,3.266495072,98.14911703,22.98816377
TS00000060,PHOTO_001,LOT250001A,W001,2024.1.1 0:44,34.19987216,-13.55658609,23.14722557,1010.956342,44.09870314,1.809477556,2.051005592,3.155430477,98.18380516,22.98586823
TS00000061,PHOTO_001,LOT250001A,W001,2024.1.1 0:45,33.71044334,-12.52382011,23.14520431,1007.784169,43.47822683,1.940288522,2.004180536,3.245819521,98.33547944,22.98425109
TS00000062,PHOTO_001,LOT250001A,W001,2024.1.1 0:45,33.89031091,-13.46235563,23.14553297,1008.108088,42.92902548,1.945668637,1.934069763,3.048307772,98.1866863,22.982856
TS00000063,PHOTO_001,LOT250001A,W001,2024.1.1 0:46,33.55351947,-12.99324984,23.14224709,1009.003183,43.26848786,2.008173121,1.888789242,3.00524106,98.33611494,22.98103968
TS00000064,PHOTO_001,LOT250001A,W001,2024.1.1 0:47,33.51757081,-13.46701774,23.1465514,1006.031388,43.67358526,2.016489979,1.88920452,2.932126686,98.38979983,22.97949823
TS00000065,PHOTO_001,LOT250001A,W001,2024.1.1 0:48,34.28958483,-14.69875645,23.14084285,1009.155095,43.8630308,2.069129895,1.853204098,2.910328313,98.40029426,22.97788826
TS00000066,PHOTO_001,LOT250001A,W001,2024.1.1 0:48,34.44460904,-11.63893053,23.13855479,1007.12174,43.47904094,2.104831644,1.811382668,2.914007328,98.389267,22.97663571
TS00000067,PHOTO_001,LOT250001A,W001,2024.1.1 0:49,33.78085006,-9.130956149,23.13595929,1005.835714,43.51937856,2.117570983,1.78108375,2.876579077,98.55183814,22.97672831
TS00000068,PHOTO_001,LOT250001A,W001,2024.1.1 0:50,34.09006901,-11.33436905,23.13826864,1009.560984,43.04517082,2.12265122,1.749768929,2.712136795,98.40610624,22.97420272
TS00000069,PHOTO_001,LOT250001A,W001,2024.1.1 0:51,33.6856809,-10.58915481,23.13616717,1011.919046,43.48809503,2.079524967,1.718628727,2.700200954,98.52850328,22.97173785
TS00000070,PHOTO_001,LOT250001A,W001,2024.1.1 0:51,33.11104631,-9.430219262,23.13171335,1010.076582,44.03014675,2.057037326,1.698432107,2.639610957,98.66765573,22.9716023
TS00000071,PHOTO_001,LOT250001A,W001,2024.1.1 0:52,33.32012875,-11.90399574,23.1320546,1010.658561,43.52076063,1.994879809,1.736309715,2.54641104,98.63600292,22.96981553
TS00000072,PHOTO_001,LOT250001A,W001,2024.1.1 0:53,33.57872197,-6.976924618,23.12599839,1007.147894,43.54855881,2.021060702,1.692481872,2.682974439,98.77839717,22.96938439
TS00000073,PHOTO_001,LOT250001A,W001,2024.1.1 0:54,32.72191869,-8.769455822,23.12742127,1004.565268,43.21183534,1.9932194,1.725782422,2.603249735,98.6652866,22.96810462
TS00000074,PHOTO_001,LOT250001A,W001,2024.1.1 0:54,33.12323724,-6.190243152,23.12591662,1012.405727,42.11387756,1.958916816,1.708577653,2.525164212,98.72543659,22.96696235
TS00000075,PHOTO_001,LOT250001A,W001,2024.1.1 0:55,31.20276843,-9.336193736,23.12631152,1013.948647,42.37714662,1.865369573,1.737515931,2.583036454,98.79213009,22.96575228
TS00000076,PHOTO_001,LOT250001A,W001,2024.1.1 0:56,32.328761,-5.151586773,23.11916904,1012.811932,43.27292548,1.777005607,1.780783329,2.560605336,98.87442335,22.96445831
TS00000077,PHOTO_001,LOT250001A,W001,2024.1.1 0:57,31.78415236,-6.410215776,23.11589801,1008.268224,42.99738311,1.692872721,1.799546273,2.508035716,98.87415561,22.96282362
TS00000078,PHOTO_001,LOT250001A,W001,2024.1.1 0:57,31.38301729,-6.497420299,23.11434033,1006.383708,43.27967633,1.720812636,1.887738405,2.5320066,98.88902032,22.96245712
TS00000079,PHOTO_001,LOT250001A,W001,2024.1.1 0:58,31.30045521,-6.79579377,23.11106926,1006.778115,44.04127955,1.585363665,1.866853874,2.610718064,99.00917316,22.9619838
TS00000080,PHOTO_001,LOT250001A,W001,2024.1.1 0:59,30.24146509,-7.409727905,23.11396402,1005.414005,43.49845528,1.584417746,1.956046549,2.514538981,99.03454956,22.96139909
TS00000081,PHOTO_001,LOT250001A,W001,2024.1.1 1:00,30.73656074,-5.199202512,23.1118758,1009.544434,43.85321869,1.550565697,2.003975243,2.679176038,98.95480927,22.95943015
TS00000082,PHOTO_001,LOT250001A,W001,2024.1.1 1:00,30.77375082,-6.826395173,23.10684877,1014.02467,43.19725586,1.52646823,1.992606352,2.624260058,98.90246999,22.95858117
TS00000083,PHOTO_001,LOT250001A,W001,2024.1.1 1:01,31.05013113,-10.09743501,23.10602527,1009.861465,42.70601649,1.51049913,2.079474384,2.757521842,98.88818316,22.95803382
TS00000084,PHOTO_001,LOT250001A,W001,2024.1.1 1:02,30.10403606,-9.00276012,23.10117206,1011.18361,43.21266694,1.504736408,2.143868136,2.731825273,99.01171779,22.95770952
TS00000085,PHOTO_001,LOT250001A,W001,2024.1.1 1:03,29.86694845,-7.851717645,23.09798514,1014.085473,42.82849306,1.429904692,2.189197415,2.803990665,99.03181115,22.95594152
TS00000086,PHOTO_001,LOT250001A,W001,2024.1.1 1:03,29.89718415,-7.413681182,23.09473297,1009.860865,44.31694299,1.515122722,2.206002818,2.843776085,98.99699406,22.955796
TS00000087,PHOTO_001,LOT250001A,W001,2024.1.1 1:04,30.40158635,-8.321526976,23.09195715,1016.189933,43.93320816,1.470220729,2.263011744,2.879717162,98.98074618,22.95434724
TS00000088,PHOTO_001,LOT250001A,W001,2024.1.1 1:05,30.13544699,-6.809572316,23.08661919,1016.316138,43.85437024,1.590812569,2.26402247,2.955101995,98.93021325,22.95427719
TS00000089,PHOTO_001,LOT250001A,W001,2024.1.1 1:06,29.79204246,-11.99960181,23.08734096,1011.247125,44.37247171,1.592119048,2.285726542,3.10035083,98.98516252,22.95399648
TS00000090,PHOTO_001,LOT250001A,W001,2024.1.1 1:06,30.24073247,-9.3153147,23.08379312,1010.373669,42.51311817,1.590762796,2.303856118,2.977982458,99.01428028,22.95231053
TS00000091,PHOTO_001,LOT250001A,W001,2024.1.1 1:07,30.13671799,-12.72696884,23.08239242,1013.806189,44.17731227,1.682868761,2.327809989,3.0925602,98.79366461,22.9521846
TS00000092,PHOTO_001,LOT250001A,W001,2024.1.1 1:08,30.57780389,-9.329734952,23.07808616,1011.442236,43.14195894,1.74529777,2.276034962,3.17661606,98.87118048,22.95246271
TS00000093,PHOTO_001,LOT250001A,W001,2024.1.1 1:09,30.03052291,-11.06873905,23.07454358,1009.669356,44.03213923,1.854558144,2.270712299,3.213996158,98.79375614,22.95187892
TS00000094,PHOTO_001,LOT250001A,W001,2024.1.1 1:09,30.32790866,-10.73255654,23.07007194,1016.014646,43.96141686,1.880506098,2.247235063,3.394210975,98.73193023,22.95172213
TS00000095,PHOTO_001,LOT250001A,W001,2024.1.1 1:10,30.47406253,-13.0591802,23.06888244,1016.103949,44.66079286,1.938067136,2.232739167,3.427368163,98.7114146,22.95130986
TS00000096,PHOTO_001,LOT250001A,W001,2024.1.1 1:11,30.23902352,-10.20212295,23.06711992,1013.702732,44.51887838,2.011772225,2.254919062,3.434110088,98.74597889,22.95044503
TS00000097,PHOTO_001,LOT250001A,W001,2024.1.1 1:12,31.15494076,-10.86446399,23.06024665,1010.40712,45.30969053,2.01580626,2.193517335,3.406263137,98.70431039,22.95149386
TS00000098,PHOTO_001,LOT250001A,W001,2024.1.1 1:12,31.368173,-11.79770312,23.05958578,1010.73937,44.26409907,2.075924016,2.102264458,3.531640836,98.71250994,22.95029036
TS00000099,PHOTO_001,LOT250001A,W001,2024.1.1 1:13,31.50466561,-13.04744542,23.05674514,1014.328109,45.17480217,2.099448779,2.074691689,3.404885084,98.59412973,22.94857081
TS00000100,PHOTO_001,LOT250001A,W001,2024.1.1 1:14,31.65549868,-12.09327909,23.05170495,1013.05453,44.97175289,2.05609209,2.058113356,3.603156483,98.45914308,22.9498835
TS00000101,PHOTO_001,LOT250001A,W001,2024.1.1 1:15,31.4338517,-14.06033885,23.04882429,1013.692353,44.01882584,2.144189507,1.972804767,3.46576851,98.48809152,22.94976541
TS00000102,PHOTO_001,LOT250001A,W001,2024.1.1 1:15,32.08240834,-11.67973153,23.04732015,1017.336967,44.57441116,2.052077122,1.931309459,3.48295559,98.38362689,22.9504223
TS00000103,PHOTO_001,LOT250001A,W001,2024.1.1 1:16,32.36029397,-10.37894821,23.04145411,1016.84748,45.16073965,2.106453945,1.947643692,3.462824388,98.34596955,22.94987307
TS00000104,PHOTO_001,LOT250001A,W001,2024.1.1 1:17,32.4153382,-11.06710373,23.04128902,1018.687273,46.0421381,2.007786187,1.845401581,3.411232872,98.3895324,22.95077139
TS00000105,PHOTO_001,LOT250001A,W001,2024.1.1 1:18,32.89899306,-13.52145469,23.03567597,1012.987079,45.77561361,2.036727692,1.852304429,3.534408996,98.32564677,22.95067331
TS00000106,PHOTO_001,LOT250001A,W001,2024.1.1 1:18,33.33719085,-11.57919437,23.03648226,1014.821155,44.91753349,2.032193022,1.825527661,3.443953229,98.30238303,22.95011554
TS00000107,PHOTO_001,LOT250001A,W001,2024.1.1 1:19,34.12356857,-13.70306807,23.03593752,1017.785318,45.65205937,1.921344428,1.735291039,3.425257841,98.21421196,22.95081545
TS00000108,PHOTO_001,LOT250001A,W001,2024.1.1 1:20,33.61085761,-10.50338603,23.02646416,1017.209494,47.06224245,1.866916297,1.705999166,3.257528531,98.23307295,22.9508164
TS00000109,PHOTO_001,LOT250001A,W001,2024.1.1 1:21,33.79167601,-10.25114586,23.02619943,1020.11388,46.03024135,1.837150356,1.706399083,3.276960289,98.1370563,22.95166322
TS00000110,PHOTO_001,LOT250001A,W001,2024.1.1 1:21,33.77987574,-13.2740279,23.02064741,1017.519608,45.87525824,1.752518136,1.671034666,3.23894108,98.18077861,22.95159457
TS00000111,PHOTO_001,LOT250001A,W001,2024.1.1 1:22,33.13460455,-11.74267577,23.02118021,1021.265116,46.47061429,1.761843263,1.703631016,3.168046323,98.11272345,22.95248439
TS00000112,PHOTO_001,LOT250001A,W001,2024.1.1 1:23,33.95396895,-9.95540495,23.01359569,1018.162257,46.73288383,1.661239665,1.69752394,3.035671985,98.05927914,22.95281981
TS00000113,PHOTO_001,LOT250001A,W001,2024.1.1 1:24,34.02014554,-9.524238638,23.01414872,1019.625371,46.0953932,1.599167718,1.725500446,3.085170261,98.05819113,22.95343506
TS00000114,PHOTO_001,LOT250001A,W001,2024.1.1 1:24,34.9813503,-10.4522439,23.00853923,1016.308876,46.75948212,1.552637461,1.774606346,2.974682244,98.02866658,22.95513774
TS00000115,PHOTO_001,LOT250001A,W001,2024.1.1 1:25,33.88763012,-7.653176149,23.0070081,1017.29069,46.34369279,1.509119542,1.781819451,2.858561141,98.09551375,22.9545784
TS00000116,PHOTO_001,LOT250001A,W001,2024.1.1 1:26,34.02273197,-7.501469243,23.0025389,1019.658894,47.04963055,1.495850396,1.802545159,2.752728976,98.01842771,22.95448246
TS00000117,PHOTO_001,LOT250001A,W001,2024.1.1 1:27,33.7957694,-7.864352715,23.00346933,1021.529472,46.79047175,1.491845388,1.764682972,2.81744368,98.000906,22.95669258
TS00000118,PHOTO_001,LOT250001A,W001,2024.1.1 1:27,33.22118464,-8.460667678,22.9974219,1019.424252,47.04179406,1.485962809,1.87710413,2.854609389,97.98832218,22.95746688
TS00000119,PHOTO_001,LOT250001A,W001,2024.1.1 1:28,33.99815561,-5.573769761,22.99752125,1017.48574,46.35414398,1.489679793,1.958973732,2.630525291,98.04610186,22.95679413
TS00000120,PHOTO_001,LOT250001A,W001,2024.1.1 1:29,33.66986742,-4.553824309,22.99310347,1021.21766,46.36678114,1.591517121,1.862753985,2.644038039,98.04743729,22.95829552
TS00000121,PHOTO_001,LOT250001A,W001,2024.1.1 1:30,33.49198328,-7.725342226,22.99099253,1012.362969,47.46941142,1.526392049,2.020681476,2.651016367,98.01077966,22.95976706
TS00000122,PHOTO_001,LOT250001A,W001,2024.1.1 1:30,32.59975237,-7.955185354,22.98900481,1014.343689,46.88952849,1.599034846,2.042149582,2.498364047,97.98334061,22.96075435
TS00000123,PHOTO_001,LOT250001A,W001,2024.1.1 1:31,33.29736683,-6.410018953,22.98473395,1019.647344,47.13559535,1.657027592,2.067211248,2.511113919,98.01674825,22.96147198
TS00000124,PHOTO_001,LOT250001A,W001,2024.1.1 1:32,31.93663935,-7.864024497,22.98428955,1018.010026,46.80039215,1.708465874,2.160231007,2.47270048,98.07725159,22.96250336
TS00000125,PHOTO_001,LOT250001A,W001,2024.1.1 1:33,32.4854093,-7.782044818,22.98460596,1019.507469,47.53528952,1.742027393,2.227626753,2.553176484,98.18218975,22.96308227
TS00000126,PHOTO_001,LOT250001A,W001,2024.1.1 1:33,32.87618225,-6.769199929,22.97773313,1018.161019,46.63531401,1.792778923,2.235388956,2.566276128,98.13393778,22.96344474
TS00000127,PHOTO_001,LOT250001A,W001,2024.1.1 1:34,31.353119,-11.10067837,22.97944676,1019.421049,46.91469271,1.869760819,2.23156934,2.511894463,98.15158182,22.9667974
TS00000128,PHOTO_001,LOT250001A,W001,2024.1.1 1:35,31.27610113,-6.660575014,22.97798509,1015.938748,47.45582509,1.918433015,2.238997863,2.473621716,98.13092235,22.96645007
TS00000129,PHOTO_001,LOT250001A,W001,2024.1.1 1:36,31.30361144,-8.96392823,22.97131637,1019.369474,47.66835512,1.952979273,2.289655784,2.51297221,98.33480023,22.96821705
TS00000130,PHOTO_001,LOT250001A,W001,2024.1.1 1:36,30.83510239,-10.14793632,22.96807439,1020.385312,46.62291075,1.958507775,2.322501581,2.530321734,98.32987746,22.96927522
TS00000131,PHOTO_001,LOT250001A,W001,2024.1.1 1:37,30.20416412,-10.13385123,22.96970222,1020.894292,48.07792342,2.028667387,2.288388409,2.54662806,98.385292,22.97105934
TS00000132,PHOTO_001,LOT250001A,W001,2024.1.1 1:38,30.65833098,-10.52565936,22.96619713,1022.808208,47.04749799,2.037051611,2.287595012,2.630413776,98.43901278,22.97195328
TS00000133,PHOTO_001,LOT250001A,W001,2024.1.1 1:39,30.03405203,-13.52385294,22.96930441,1018.303915,46.18389715,2.070560162,2.369976962,2.710029329,98.42909687,22.97328538
TS00000134,PHOTO_001,LOT250001A,W001,2024.1.1 1:39,30.50078112,-9.119564158,22.96399541,1018.285937,46.97404459,2.100404716,2.299661516,2.756599475,98.48852415,22.97323077
TS00000135,PHOTO_001,LOT250001A,W001,2024.1.1 1:40,29.8225762,-11.70136731,22.96076493,1013.689095,46.45885632,2.108396495,2.277208959,2.786698736,98.60582536,22.97549565
TS00000136,PHOTO_001,LOT250001A,W001,2024.1.1 1:41,30.71786073,-11.45681715,22.95860503,1016.053005,46.87847508,2.138730537,2.168323457,2.848344195,98.58719628,22.97767279
TS00000137,PHOTO_001,LOT250001A,W001,2024.1.1 1:42,29.72212418,-10.99972633,22.9616971,1016.772267,46.51531274,2.046769813,2.155119915,2.902231803,98.65372121,22.97903837
TS00000138,PHOTO_001,LOT250001A,W001,2024.1.1 1:42,29.87512194,-14.20476326,22.95708217,1019.743462,46.50250147,2.054392742,2.138437599,2.903744163,98.7128965,22.97966678
TS00000139,PHOTO_001,LOT250001A,W001,2024.1.1 1:43,30.32935343,-12.1429617,22.95711001,1015.442449,45.82213819,2.000405998,2.062670972,3.039402005,98.74503621,22.98080476
TS00000140,PHOTO_001,LOT250001A,W001,2024.1.1 1:44,29.54307977,-13.36452666,22.95782353,1018.803063,46.86888472,1.983406032,2.094942258,3.064509378,98.74811225,22.98312639
TS00000141,PHOTO_001,LOT250001A,W001,2024.1.1 1:45,30.18887094,-11.72984384,22.95392583,1016.640789,45.48189408,1.90999196,2.042309369,3.087141336,98.79219843,22.98309576
TS00000142,PHOTO_001,LOT250001A,W001,2024.1.1 1:45,30.713203,-16.15390615,22.95387877,1016.025346,45.40639465,1.807345527,1.9370633,3.231424924,98.86953795,22.98547611
