PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,BEAM_CURRENT,BEAM_ENERGY,DOSE_RATE,TOTAL_DOSE,IMPLANT_ANGLE,WAFER_ROTATION,SOURCE_PRESSURE,ANALYZER_PRESSURE,END_STATION_PRESSURE,BEAM_UNIFORMITY,FARADAY_CUP_CURRENT
TS00000017,ION_001,LOT250001A,2024.1.1 0:12,-2620.359071,-3758983.655,1.09E+23,-8.50E+27,21.62735141,-1813.597845,2.95E-05,9.57E-07,4.77E-07,98.97661357,-5437.430088
TS00000018,ION_001,LOT250001A,2024.1.1 0:12,2675.854915,-7041085.285,9.72E+21,-3.67E+27,8.488527553,136.9085297,2.92E-05,9.33E-07,4.74E-07,98.84984335,4848.056251
TS00000019,ION_001,LOT250001A,2024.1.1 0:13,-2227.993654,-1088675.506,-7.37E+21,-9.72E+26,22.43011093,-3036.089329,2.89E-05,9.15E-07,4.69E-07,98.90439352,4393.682671
TS00000020,ION_001,LOT250001A,2024.1.1 0:14,-4262.305384,1418487.403,4.82E+22,3.33E+27,18.42502607,73.56241854,2.84E-05,9.04E-07,4.64E-07,98.96706942,-1336.555794
TS00000021,ION_001,LOT250001A,2024.1.1 0:15,7230.152126,3039699.459,1.25E+22,9.43E+26,10.54731827,3643.585323,2.79E-05,9.00E-07,4.57E-07,98.89609766,6365.298679
TS00000022,ION_001,LOT250001A,2024.1.1 0:15,443.2455329,-1118952.63,2.00E+22,8.04E+27,21.97217976,1436.878608,2.74E-05,9.04E-07,4.49E-07,98.90871834,5057.337459
TS00000023,ION_001,LOT250001A,2024.1.1 0:16,1593.737729,-989713.9516,1.25E+23,-5.18E+27,22.28876976,6135.599919,2.68E-05,9.15E-07,4.41E-07,98.93959507,-226.1824436
TS00000024,ION_001,LOT250001A,2024.1.1 0:17,-4399.254767,2923502.391,-1.38E+22,4.41E+27,28.49634307,-3685.081882,2.62E-05,9.33E-07,4.31E-07,98.91967202,-814.0600985
TS00000025,ION_001,LOT250001A,2024.1.1 0:18,-902.4642514,-4635709.406,-1.59E+22,2.36E+26,26.64173741,2872.235779,2.56E-05,9.57E-07,4.21E-07,98.84248138,6756.230575
TS00000026,ION_001,LOT250001A,2024.1.1 0:18,1693.690359,-932766.4041,5.83E+21,3.47E+27,21.91274021,-4131.407809,2.50E-05,9.88E-07,4.11E-07,98.84703371,2405.069197
TS00000027,ION_001,LOT250001A,2024.1.1 0:19,-3379.040956,514482.4603,5.36E+22,-2.18E+27,5.704357772,1228.874178,2.44E-05,1.02E-06,4.00E-07,98.88751175,6443.419195
TS00000028,ION_001,LOT250001A,2024.1.1 0:20,2703.054096,1161353.363,-7.53E+22,5.36E+27,41.40701689,3803.735112,2.38E-05,1.06E-06,3.89E-07,98.87762941,-10749.60835
TS00000029,ION_001,LOT250001A,2024.1.1 0:21,-1226.17967,-1236329.613,-9.83E+22,1.48E+27,2.786710397,-25.48283426,2.32E-05,1.11E-06,3.77E-07,98.81430949,1663.800575
TS00000030,ION_001,LOT250001A,2024.1.1 0:21,-13.12573399,124167.0645,-2.94E+22,-3.40E+27,26.17846335,3027.077693,2.26E-05,1.15E-06,3.66E-07,98.80377624,-6738.39617
TS00000031,ION_001,LOT250001A,2024.1.1 0:22,-1274.383499,-6182879.457,-8.17E+22,-6.01E+25,20.82340333,-3026.371235,2.21E-05,1.20E-06,3.55E-07,98.80727681,998.5004121
TS00000032,ION_001,LOT250001A,2024.1.1 0:23,8522.203317,-1607810.614,-2.12E+22,-1.20E+27,4.556341134,-5852.246705,2.16E-05,1.25E-06,3.44E-07,98.84938672,4677.191621
TS00000033,ION_001,LOT250001A,2024.1.1 0:24,1041.908452,1171450.915,2.51E+22,2.45E+27,14.80526114,3020.580453,2.11E-05,1.29E-06,3.34E-07,98.8212917,9786.59808
TS00000034,ION_001,LOT250001A,2024.1.1 0:24,-3149.709301,-2418189.879,-4.45E+22,-5.90E+27,14.97553794,7758.470697,2.08E-05,1.34E-06,3.24E-07,98.78919004,-3614.699227
TS00000035,ION_001,LOT250001A,2024.1.1 0:25,4359.214238,184869.3223,-7.13E+22,-1.47E+26,28.49910641,-3211.737819,2.05E-05,1.38E-06,3.15E-07,98.68694337,-1564.489437
TS00000036,ION_001,LOT250001A,2024.1.1 0:26,-3823.585903,1154451.205,3.47E+21,1.98E+27,7.957060941,5651.300458,2.02E-05,1.41E-06,3.07E-07,98.71325358,577.1241614
TS00000037,ION_001,LOT250001A,2024.1.1 0:27,1888.99693,-819244.1057,4.31E+22,1.65E+26,12.08568236,926.3938359,2.01E-05,1.44E-06,3.00E-07,98.70177531,-3824.112957
TS00000038,ION_001,LOT250001A,2024.1.1 0:27,-6788.285841,463145.1669,-8.47E+22,6.73E+27,-9.071009776,-4599.769939,2.00E-05,1.47E-06,2.94E-07,98.7694982,5938.193298
TS00000039,ION_001,LOT250001A,2024.1.1 0:28,-4262.349541,-2369990.79,4.10E+22,3.87E+27,31.19309899,-3792.585114,2.00E-05,1.49E-06,2.88E-07,98.67211906,694.9219275
TS00000040,ION_001,LOT250001A,2024.1.1 0:29,1840.987493,-479834.5096,4.09E+22,-3.74E+25,2.669557467,787.1832743,2.01E-05,1.50E-06,2.85E-07,98.7320411,1658.327667
TS00000041,ION_001,LOT250001A,2024.1.1 0:30,4013.655017,1562085.509,4.77E+22,1.08E+27,16.14696117,-903.00501,2.02E-05,1.50E-06,2.82E-07,98.62597356,4155.654331
TS00000042,ION_001,LOT250001A,2024.1.1 0:30,1754.507714,428827.358,6.09E+22,1.48E+27,11.34418965,-4545.792693,2.05E-05,1.50E-06,2.80E-07,98.61495136,705.4770076
TS00000043,ION_001,LOT250001A,2024.1.1 0:31,618.5412853,-1430084.724,1.10E+23,2.02E+27,10.83752707,-6079.045032,2.08E-05,1.49E-06,2.80E-07,98.64841765,-3011.561226
TS00000044,ION_001,LOT250001A,2024.1.1 0:32,-108.5174309,596631.7269,-1.78E+22,-9.13E+27,19.35641276,-2698.252435,2.11E-05,1.47E-06,2.81E-07,98.68747896,775.79616
TS00000045,ION_001,LOT250001A,2024.1.1 0:33,-4800.997383,1822461.383,5.48E+21,-1.51E+27,27.39387013,1455.655037,2.16E-05,1.44E-06,2.83E-07,98.5831018,-3172.816219
TS00000046,ION_001,LOT250001A,2024.1.1 0:33,-1746.933884,-5089071.024,-2.08E+22,-7.42E+27,12.60510664,646.9121916,2.21E-05,1.41E-06,2.87E-07,98.45007884,1667.347395
TS00000047,ION_001,LOT250001A,2024.1.1 0:34,-688.9058187,2933311.829,9.88E+19,6.39E+27,16.03767905,-1340.018392,2.26E-05,1.38E-06,2.92E-07,98.48445745,6133.337869
TS00000048,ION_001,LOT250001A,2024.1.1 0:35,5404.863994,-805166.3051,7.66E+22,-3.04E+26,12.16272851,1465.241642,2.32E-05,1.34E-06,2.98E-07,98.56195223,-4703.516372
TS00000049,ION_001,LOT250001A,2024.1.1 0:36,2574.735181,1099038.786,-6.73E+22,-9.67E+26,18.42864657,4810.91865,2.38E-05,1.29E-06,3.05E-07,98.45765546,-6466.592985
TS00000050,ION_001,LOT250001A,2024.1.1 0:36,-5827.227268,3028274.363,-4.31E+22,4.48E+27,2.9987414,2220.813581,2.44E-05,1.25E-06,3.12E-07,98.47242724,1466.183033
TS00000051,ION_001,LOT250001A,2024.1.1 0:37,2546.335878,-3394184.243,6.89E+22,2.11E+27,17.75390554,152.9619156,2.50E-05,1.20E-06,3.21E-07,98.5006171,-2593.998084
TS00000052,ION_001,LOT250001A,2024.1.1 0:38,-265.262475,-1738759.56,5.10E+22,-5.64E+27,17.47709346,4344.782419,2.56E-05,1.15E-06,3.31E-07,98.36182626,1428.793019
TS00000053,ION_001,LOT250001A,2024.1.1 0:39,-1407.950024,-686685.6923,-1.82E+22,-3.55E+26,16.57203775,-3212.185892,2.62E-05,1.11E-06,3.41E-07,98.44961845,2896.75558
TS00000054,ION_001,LOT250001A,2024.1.1 0:39,3770.330066,-1924854.344,4.27E+22,-1.68E+27,-1.475291819,-277.305448,2.68E-05,1.06E-06,3.51E-07,98.39470542,-9399.806234
TS00000055,ION_001,LOT250001A,2024.1.1 0:40,5470.348825,4371714.773,1.71E+22,-8.72E+27,2.829724786,-186.3729365,2.74E-05,1.02E-06,3.62E-07,98.3623744,4790.597873
TS00000056,ION_001,LOT250001A,2024.1.1 0:41,5092.677527,-2107712.407,7.50E+22,-3.45E+27,6.304499944,-4333.768331,2.79E-05,9.88E-07,3.74E-07,98.38167355,-4485.785464
TS00000057,ION_001,LOT250001A,2024.1.1 0:42,-1969.960672,-1354803.855,3.73E+21,-9.18E+26,-10.38966598,-1068.91631,2.84E-05,9.57E-07,3.85E-07,98.3528489,1270.169668
TS00000058,ION_001,LOT250001A,2024.1.1 0:42,167.2531452,544881.8628,5.13E+22,-5.75E+26,18.69140917,-7692.244258,2.89E-05,9.33E-07,3.96E-07,98.41440239,-1897.809029
TS00000059,ION_001,LOT250001A,2024.1.1 0:43,2743.919311,-2971617.265,1.32E+23,-7.41E+27,2.059697924,8253.806816,2.92E-05,9.15E-07,4.07E-07,98.4354814,-1345.919489
TS00000060,ION_001,LOT250001A,2024.1.1 0:44,5333.145919,-955596.7349,2.99E+22,5.76E+27,4.481010926,-3146.568021,2.95E-05,9.04E-07,4.18E-07,98.3422831,9895.755109
TS00000061,ION_001,LOT250001A,2024.1.1 0:45,-476.4856481,827088.0682,2.47E+21,-5.11E+26,-4.64789692,6946.033585,2.98E-05,9.00E-07,4.28E-07,98.31568521,3031.548907
TS00000062,ION_001,LOT250001A,2024.1.1 0:45,703.8215435,-798844.7006,3.61E+22,1.88E+26,-12.64301549,752.9062428,2.99E-05,9.04E-07,4.38E-07,98.30992079,5964.899465
TS00000063,ION_001,LOT250001A,2024.1.1 0:46,-2975.73455,-200307.77,-1.83E+22,2.00E+27,-5.885769914,2859.519691,3.00E-05,9.15E-07,4.47E-07,98.26052837,2199.312117
TS00000064,ION_001,LOT250001A,2024.1.1 0:47,-3335.221151,-1290316.021,1.19E+23,-3.94E+27,1.902355602,-1355.136031,3.00E-05,9.33E-07,4.55E-07,98.23698896,4544.673219
TS00000065,ION_001,LOT250001A,2024.1.1 0:48,4696.56074,-3753304.669,9.00E+21,2.28E+27,6.0291557,1432.286988,2.99E-05,9.57E-07,4.62E-07,98.20483263,3528.349261
TS00000066,ION_001,LOT250001A,2024.1.1 0:48,6865.171418,836713.0758,-1.36E+22,-1.84E+27,0.527745462,3203.53562,2.98E-05,9.88E-07,4.68E-07,98.2065287,2707.492027
TS00000067,ION_001,LOT250001A,2024.1.1 0:49,1142.924924,4419923.911,-4.18E+22,-4.48E+27,2.023960907,3261.296791,2.95E-05,1.02E-06,4.73E-07,98.34072271,6961.744956
TS00000068,ION_001,LOT250001A,2024.1.1 0:50,5432.997177,78458.86988,5.49E+22,2.87E+27,-5.133330547,3704.188186,2.92E-05,1.06E-06,4.76E-07,98.21095824,2196.392854
TS00000069,ION_001,LOT250001A,2024.1.1 0:51,2850.646749,595481.1591,4.34E+22,7.46E+27,2.914215138,-865.7363745,2.89E-05,1.11E-06,4.79E-07,98.08500518,12824.84551
TS00000070,ION_001,LOT250001A,2024.1.1 0:51,-1193.569597,1763996.471,-2.49E+22,3.62E+27,12.5305638,-1310.858351,2.84E-05,1.15E-06,4.80E-07,98.18960546,6184.567285
TS00000071,ION_001,LOT250001A,2024.1.1 0:52,2813.139472,-3141265.168,2.88E+22,4.61E+27,4.537329261,-5762.660598,2.79E-05,1.20E-06,4.80E-07,98.12658665,-4335.146438
TS00000072,ION_001,LOT250001A,2024.1.1 0:53,7498.497001,4288222.11,-7.54E+22,-2.60E+27,5.409587271,2710.854851,2.74E-05,1.25E-06,4.78E-07,98.19652072,458.6021899
TS00000073,ION_001,LOT250001A,2024.1.1 0:54,1180.320754,537634.8711,9.25E+21,-7.99E+27,0.117291486,4951.887556,2.68E-05,1.29E-06,4.76E-07,98.17887032,3304.012908
TS00000074,ION_001,LOT250001A,2024.1.1 0:54,7558.312601,4111335.688,2.26E+22,7.45E+27,-17.95269771,7091.142036,2.62E-05,1.34E-06,4.72E-07,98.17213835,1517.222156
TS00000075,ION_001,LOT250001A,2024.1.1 0:55,-9203.91377,-1801005.224,8.54E+22,1.03E+28,-13.42693259,1853.18493,2.56E-05,1.38E-06,4.67E-07,98.15569014,4704.433742
TS00000076,ION_001,LOT250001A,2024.1.1 0:56,4537.610018,4576619.272,-3.85E+22,7.71E+27,1.548758007,-2427.722491,2.50E-05,1.41E-06,4.61E-07,98.12781109,5230.083524
TS00000077,ION_001,LOT250001A,2024.1.1 0:57,1573.121626,1969243.892,-6.39E+22,-1.68E+27,-3.089657804,-6144.077033,2.44E-05,1.44E-06,4.54E-07,98.06272088,-5578.001576
TS00000078,ION_001,LOT250001A,2024.1.1 0:57,4.232620704,1413849.659,-4.48E+22,-5.77E+27,1.477281852,4817.478703,2.38E-05,1.47E-06,4.46E-07,98.12121176,7600.649746
TS00000079,ION_001,LOT250001A,2024.1.1 0:58,1543.418196,616208.5697,-6.68E+22,-5.33E+27,13.94136167,-6527.413403,2.32E-05,1.49E-06,4.37E-07,98.16568961,-1312.712238
TS00000080,ION_001,LOT250001A,2024.1.1 0:59,-6796.626393,-590272.3202,6.68E+22,-8.42E+27,4.574528381,-697.4828726,2.26E-05,1.50E-06,4.27E-07,98.19560615,-1830.873264
TS00000081,ION_001,LOT250001A,2024.1.1 1:00,253.7553982,3032284.061,7.74E+22,-5.37E+26,10.07829689,-224.7121097,2.21E-05,1.50E-06,4.17E-07,98.08359194,-1868.169014
TS00000082,ION_001,LOT250001A,2024.1.1 1:00,2541.540865,381764.2717,1.60E+22,8.03E+27,-1.350950964,402.598452,2.16E-05,1.50E-06,4.06E-07,98.07997922,5150.972609
TS00000083,ION_001,LOT250001A,2024.1.1 1:01,7007.47353,-4886895.899,6.11E+22,-7.08E+26,-10.1204273,831.8352768,2.11E-05,1.49E-06,3.95E-07,98.1028574,-244.4411393
TS00000084,ION_001,LOT250001A,2024.1.1 1:02,-991.9464582,-2762269.864,6.70E+21,1.51E+27,-2.341728393,1249.702319,2.08E-05,1.47E-06,3.84E-07,98.14429106,-2241.623807
TS00000085,ION_001,LOT250001A,2024.1.1 1:03,-2164.939822,-433995.9139,-4.76E+21,6.88E+27,-9.490797392,-8955.593835,2.05E-05,1.44E-06,3.72E-07,98.03753183,-1055.761198
TS00000086,ION_001,LOT250001A,2024.1.1 1:03,-947.2394776,805542.4253,-1.67E+22,-2.02E+27,14.49277962,773.4677812,2.02E-05,1.41E-06,3.61E-07,98.0891293,-7918.669598
TS00000087,ION_001,LOT250001A,2024.1.1 1:04,4715.151021,-110995.3575,-1.55E+22,1.02E+28,7.198778338,-8194.258116,2.01E-05,1.38E-06,3.50E-07,98.00644551,-3162.27627
TS00000088,ION_001,LOT250001A,2024.1.1 1:05,2365.399093,3077838.201,-7.74E+22,9.96E+27,4.915438692,3662.308383,2.00E-05,1.34E-06,3.40E-07,98.05761514,-5152.523089
TS00000089,ION_001,LOT250001A,2024.1.1 1:06,-1068.646161,-4847403.543,1.32E+22,-6.56E+26,12.51396096,-1477.504476,2.00E-05,1.29E-06,3.30E-07,98.08364197,-300.4519982
TS00000090,ION_001,LOT250001A,2024.1.1 1:06,3106.612282,389265.4374,-2.02E+21,-2.89E+27,-19.57480404,-7875.4467,2.01E-05,1.25E-06,3.20E-07,97.96501659,4369.508901
TS00000091,ION_001,LOT250001A,2024.1.1 1:07,1448.098894,-4514703.346,3.73E+22,3.49E+27,7.003526991,-2494.294972,2.02E-05,1.20E-06,3.12E-07,97.99821451,3824.168201
TS00000092,ION_001,LOT250001A,2024.1.1 1:08,4943.614552,1929479.27,4.68E+21,-1.74E+27,-11.46472579,-1507.859415,2.05E-05,1.15E-06,3.04E-07,98.06759231,7347.787077
TS00000093,ION_001,LOT250001A,2024.1.1 1:09,-1727.077961,-205989.7019,-8.14E+21,-5.78E+27,2.109906274,5545.228231,2.08E-05,1.11E-06,2.97E-07,98.04651648,6246.013501
TS00000094,ION_001,LOT250001A,2024.1.1 1:09,-214.7512349,1079145.346,-4.36E+22,6.41E+27,-0.37486884,1579.01293,2.11E-05,1.06E-06,2.91E-07,98.06383893,-1552.086223
TS00000095,ION_001,LOT250001A,2024.1.1 1:10,-455.3420337,-2129618.838,3.61E+21,6.08E+27,9.936120594,2180.292985,2.16E-05,1.02E-06,2.87E-07,98.05127836,1203.447583
TS00000096,ION_001,LOT250001A,2024.1.1 1:11,-4721.616843,3228723.887,3.69E+22,7.78E+26,6.191702946,5537.444641,2.21E-05,9.88E-07,2.83E-07,97.98910065,964.6624784
TS00000097,ION_001,LOT250001A,2024.1.1 1:12,2338.130373,2634351.087,-5.72E+22,-6.31E+27,17.96427286,437.9941253,2.26E-05,9.57E-07,2.81E-07,98.11390216,-9606.614148
TS00000098,ION_001,LOT250001A,2024.1.1 1:12,2220.596178,1488882.948,4.37E+21,-6.15E+27,-0.892784755,3849.279277,2.32E-05,9.33E-07,2.80E-07,98.00906452,-4914.922595
TS00000099,ION_001,LOT250001A,2024.1.1 1:13,1220.715849,-293783.2508,1.17E+22,5.36E+26,12.83781156,3577.845878,2.38E-05,9.15E-07,2.80E-07,97.84820119,358.8286368
TS00000100,ION_001,LOT250001A,2024.1.1 1:14,286.5848198,1479645.68,-3.59E+22,-2.50E+27,7.994326974,-4293.709673,2.44E-05,9.04E-07,2.82E-07,97.9861294,355.4511776
TS00000101,ION_001,LOT250001A,2024.1.1 1:15,-4411.482968,-1737231.42,-2.94E+22,-1.71E+27,-9.352902701,6753.737709,2.50E-05,9.00E-07,2.85E-07,97.97654144,3806.625271
TS00000102,ION_001,LOT250001A,2024.1.1 1:15,-407.5146443,2168891.615,1.15E+22,5.11E+27,-1.55825939,-4809.924745,2.56E-05,9.04E-07,2.89E-07,98.04000918,3588.274794
TS00000103,ION_001,LOT250001A,2024.1.1 1:16,-71.12008867,4153712.102,-5.67E+22,3.67E+27,6.754552,4550.047885,2.62E-05,9.15E-07,2.94E-07,97.97842737,-7558.724533
TS00000104,ION_001,LOT250001A,2024.1.1 1:17,-1885.484166,2706548.59,1.75E+22,6.89E+27,19.99673764,-5178.615504,2.68E-05,9.33E-07,3.01E-07,98.05716752,3911.608583
TS00000105,ION_001,LOT250001A,2024.1.1 1:18,701.2078882,-1793966.748,-4.48E+22,-4.95E+27,14.12412945,3303.492621,2.74E-05,9.57E-07,3.08E-07,98.03184762,2234.286767
TS00000106,ION_001,LOT250001A,2024.1.1 1:18,2983.760478,933604.8515,5.31E+22,-1.72E+27,-1.584838295,8354.824872,2.79E-05,9.88E-07,3.16E-07,97.95615131,4479.422959
TS00000107,ION_001,LOT250001A,2024.1.1 1:19,8931.653026,-3202765.296,1.17E+23,3.79E+27,9.278083246,63.59991448,2.84E-05,1.02E-06,3.25E-07,98.00183771,6716.237359
TS00000108,ION_001,LOT250001A,2024.1.1 1:20,2102.4139,1461096.194,-4.30E+22,2.24E+27,31.4358574,-101.8506488,2.89E-05,1.06E-06,3.35E-07,97.97326495,684.6877846
TS00000109,ION_001,LOT250001A,2024.1.1 1:21,2449.067148,1156665.616,2.67E+22,7.66E+27,12.92977009,3373.077148,2.92E-05,1.11E-06,3.46E-07,98.02494635,7641.80677
TS00000110,ION_001,LOT250001A,2024.1.1 1:21,1133.181747,-4644342.317,-3.63E+22,2.10E+27,9.085012199,-378.8551627,2.95E-05,1.15E-06,3.56E-07,97.98077861,-3021.036859
TS00000111,ION_001,LOT250001A,2024.1.1 1:22,-6234.873558,-2874214.892,5.20E+22,9.24E+27,17.79524893,8218.90854,2.98E-05,1.20E-06,3.67E-07,98.0281935,-3293.479299
TS00000112,ION_001,LOT250001A,2024.1.1 1:23,1340.401948,-677551.6457,-6.33E+22,2.70E+27,21.00817069,1721.2575,2.99E-05,1.25E-06,3.79E-07,98.01594433,3585.318401
TS00000113,ION_001,LOT250001A,2024.1.1 1:24,1690.526185,-721798.2503,2.40E+22,5.31E+27,9.283787584,-321.8799532,3.00E-05,1.29E-06,3.90E-07,98.02750059,-399.2323808
TS00000114,ION_001,LOT250001A,2024.1.1 1:24,11302.5738,-2993281.112,-4.36E+22,-1.62E+27,19.31543402,-1196.435592,3.00E-05,1.34E-06,4.01E-07,98.14366971,2752.768169
TS00000115,ION_001,LOT250001A,2024.1.1 1:25,677.013591,1002922.688,-1.03E+22,7.14E+25,11.41623746,-2761.594984,2.99E-05,1.38E-06,4.12E-07,98.02956221,11406.36805
TS00000116,ION_001,LOT250001A,2024.1.1 1:26,2646.400673,659228.9897,-5.16E+22,4.55E+27,22.28344596,-1535.758611,2.98E-05,1.41E-06,4.23E-07,97.95777508,3402.686671
TS00000117,ION_001,LOT250001A,2024.1.1 1:27,1292.118332,-455054.3633,4.11E+22,8.06E+27,17.14021083,-422.8125243,2.95E-05,1.44E-06,4.33E-07,98.11263797,2486.813105
TS00000118,ION_001,LOT250001A,2024.1.1 1:27,-3255.846565,-1858782.461,-4.18E+22,3.65E+27,20.58274507,-966.5099245,2.92E-05,1.47E-06,4.42E-07,98.12002678,-2932.236308
TS00000119,ION_001,LOT250001A,2024.1.1 1:28,5975.393907,2652546.176,2.76E+22,-4.16E+26,8.456435063,-1644.954325,2.89E-05,1.49E-06,4.50E-07,97.97888903,-7100.796385
TS00000120,ION_001,LOT250001A,2024.1.1 1:29,4394.641552,4169382.38,-1.72E+22,6.89E+27,8.084901018,9386.33783,2.84E-05,1.50E-06,4.58E-07,98.05141473,1019.176345
TS00000121,ION_001,LOT250001A,2024.1.1 1:30,4531.684839,-1177948.795,-5.72E+21,-1.10E+28,25.96553821,-3126.663674,2.79E-05,1.50E-06,4.64E-07,98.11728203,6696.908283
TS00000122,ION_001,LOT250001A,2024.1.1 1:30,-2291.199084,-1499368.068,7.39E+21,-7.11E+27,15.8918678,1582.501361,2.74E-05,1.50E-06,4.70E-07,98.13113266,-273.3393005
TS00000123,ION_001,LOT250001A,2024.1.1 1:31,6934.802154,1259166.597,-3.81E+22,3.41E+27,19.67321993,3367.814388,2.68E-05,1.49E-06,4.74E-07,98.11450719,3325.937407
TS00000124,ION_001,LOT250001A,2024.1.1 1:32,-4307.666274,-863824.0047,1.05E+22,7.05E+25,13.85719274,3519.422186,2.62E-05,1.47E-06,4.77E-07,98.12583573,8427.224341
TS00000125,ION_001,LOT250001A,2024.1.1 1:33,3622.495022,-317137.8448,7.65E+22,3.03E+27,25.96753502,765.3190882,2.56E-05,1.44E-06,4.79E-07,98.08858629,8277.648213
TS00000126,ION_001,LOT250001A,2024.1.1 1:33,10011.8225,1880597.345,-3.89E+22,3.22E+26,10.9219002,37.18971261,2.50E-05,1.41E-06,4.80E-07,98.02645417,3389.079438
TS00000127,ION_001,LOT250001A,2024.1.1 1:34,-2737.211947,-4741812.954,5.86E+22,2.85E+27,15.62425489,2805.937356,2.44E-05,1.38E-06,4.79E-07,98.26020181,2070.465747
TS00000128,ION_001,LOT250001A,2024.1.1 1:35,-1064.928896,3327449.253,7.49E+22,-4.07E+27,24.78107514,2065.076803,2.38E-05,1.34E-06,4.77E-07,98.1209107,-6397.903222
TS00000129,ION_001,LOT250001A,2024.1.1 1:36,1574.98055,213514.1909,-4.08E+22,2.85E+27,28.5525495,-38.10499012,2.32E-05,1.29E-06,4.74E-07,98.19011329,-1979.598131
TS00000130,ION_001,LOT250001A,2024.1.1 1:36,-860.2533513,-996797.3967,-7.28E+22,4.97E+27,11.4482387,-5251.543276,2.26E-05,1.25E-06,4.70E-07,98.18560407,-255.1297749
TS00000131,ION_001,LOT250001A,2024.1.1 1:37,-5070.210775,-191024.3118,1.51E+22,6.10E+27,36.10740498,-877.9782571,2.21E-05,1.20E-06,4.64E-07,98.25096725,-3134.215108
TS00000132,ION_001,LOT250001A,2024.1.1 1:38,1387.342478,-61737.02934,-2.74E+22,1.01E+28,19.4301818,-3595.227746,2.16E-05,1.15E-06,4.58E-07,98.22470317,2350.356894
